Date_reported,New_cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,2
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,1
3/4/2020,0
3/5/2020,0
3/6/2020,1
3/7/2020,0
3/8/2020,3
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,13
3/13/2020,14
3/14/2020,0
3/15/2020,0
3/16/2020,0
3/17/2020,59
3/18/2020,0
3/19/2020,54
3/20/2020,52
3/21/2020,54
3/22/2020,53
3/23/2020,132
3/24/2020,57
3/25/2020,163
3/26/2020,182
3/27/2020,196
3/28/2020,228
3/29/2020,270
3/30/2020,303
3/31/2020,500
4/1/2020,440
4/2/2020,0
4/3/2020,771
4/4/2020,601
4/5/2020,582
4/6/2020,658
4/7/2020,954
4/8/2020,1154
4/9/2020,2634
4/10/2020,1786
4/11/2020,1667
4/12/2020,2186
4/13/2020,2558
4/14/2020,2774
4/15/2020,3388
4/16/2020,3448
4/17/2020,4070
4/18/2020,4785
4/19/2020,6060
4/20/2020,4268
4/21/2020,5642
4/22/2020,5236
4/23/2020,4774
4/24/2020,5849
4/25/2020,5966
4/26/2020,6361
4/27/2020,6198
4/28/2020,6411
4/29/2020,5841
4/30/2020,7099
5/1/2020,7933
5/2/2020,9623
5/3/2020,10633
5/4/2020,10581
5/5/2020,10102
5/6/2020,10559
5/7/2020,11231
5/8/2020,10699
5/9/2020,10817
5/10/2020,11012
5/11/2020,11656
5/12/2020,10899
5/13/2020,10028
5/14/2020,9974
5/15/2020,10598
5/16/2020,9200
5/17/2020,9709
5/18/2020,8926
5/19/2020,9263
5/20/2020,8764
5/21/2020,8849
5/22/2020,8894
5/23/2020,9434
5/24/2020,8599
5/25/2020,8946
5/26/2020,8915
5/27/2020,8338
5/28/2020,8371
5/29/2020,8572
5/30/2020,8952
5/31/2020,9268
6/1/2020,9035
6/2/2020,8863
6/3/2020,8536
6/4/2020,8831
6/5/2020,8726
6/6/2020,8855
6/7/2020,8984
6/8/2020,8985
6/9/2020,8595
6/10/2020,8404
6/11/2020,8779
6/12/2020,8987
6/13/2020,8706
6/14/2020,8835
6/15/2020,8246
6/16/2020,8248
6/17/2020,7843
6/18/2020,7790
6/19/2020,7972
6/20/2020,7889
6/21/2020,7728
6/22/2020,7600
6/23/2020,7425
6/24/2020,7176
6/25/2020,7113
6/26/2020,6800
6/27/2020,6852
6/28/2020,6791
6/29/2020,6719
6/30/2020,6693
7/1/2020,6556
7/2/2020,6760
7/3/2020,6718
7/4/2020,6632
7/5/2020,6736
7/6/2020,6611
7/7/2020,6368
7/8/2020,6562
7/9/2020,6509
7/10/2020,6635
7/11/2020,6611
7/12/2020,6615
7/13/2020,6537
7/14/2020,6248
7/15/2020,6422
7/16/2020,6428
7/17/2020,6406
7/18/2020,6234
7/19/2020,6109
7/20/2020,5940
7/21/2020,5842
7/22/2020,5862
7/23/2020,5848
7/24/2020,5811
7/25/2020,5871
7/26/2020,5765
7/27/2020,5635
7/28/2020,5395
7/29/2020,5475
7/30/2020,5509
7/31/2020,5482
8/1/2020,5462
8/2/2020,5427
8/3/2020,5394
8/4/2020,5159
8/5/2020,5204
8/6/2020,5267
8/7/2020,5241
8/8/2020,5212
8/9/2020,5189
8/10/2020,5118
8/11/2020,4945
8/12/2020,5102
8/13/2020,5057
8/14/2020,5065
8/15/2020,5061
8/16/2020,4969
8/17/2020,4892
8/18/2020,4748
8/19/2020,4828
8/20/2020,4785
8/21/2020,4870
8/22/2020,4921
8/23/2020,4852
8/24/2020,4744
8/25/2020,4696
8/26/2020,4676
8/27/2020,4711
8/28/2020,4829
8/29/2020,4941
8/30/2020,4980
8/31/2020,4993
9/1/2020,4729
9/2/2020,4952
9/3/2020,4995
9/4/2020,5110
9/5/2020,5205
9/6/2020,5195
9/7/2020,5185
9/8/2020,5099
9/9/2020,5218
9/10/2020,5363
9/11/2020,5504
9/12/2020,5488
9/13/2020,5449
9/14/2020,5509
9/15/2020,5529
9/16/2020,5670
9/17/2020,5762
9/18/2020,5905
9/19/2020,6065
9/20/2020,6148
9/21/2020,6196
9/22/2020,6215
9/23/2020,6431
9/24/2020,6595
9/25/2020,7212
9/26/2020,7523
9/27/2020,7867
9/28/2020,8135
